date,transaction_reference,age,account,old_balance,new_balance,amount,type,message
2059-03-31,1000002301,84,excess,375191.29,376121.29,930.0,inflow,excess-CPF payout at age 84-930.00
2059-04-30,1000002303,84,oa,78665.23,78884.27,219.04,inflow,oa-Allocation for oa at age 84-219.04
2059-04-30,1000002304,84,ma,941078.66,943378.58,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2059-04-30,1000002305,84,ra,35942.12,36161.16,219.04,inflow,ra-Allocation for ra at age 84-219.04
2059-04-30,1000002306,84,ra,36161.16,35231.16,-930.0,outflow,ra-CPF payout at age 84--930.00
2059-04-30,1000002307,84,excess,376121.29,377051.29,930.0,inflow,excess-CPF payout at age 84-930.00
2059-05-31,1000002309,84,oa,78884.27,79103.31,219.04,inflow,oa-Allocation for oa at age 84-219.04
2059-05-31,1000002310,84,ma,943378.58,945678.5,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2059-05-31,1000002311,84,ra,35231.16,35450.2,219.04,inflow,ra-Allocation for ra at age 84-219.04
2059-05-31,1000002312,84,ra,35450.2,34520.2,-930.0,outflow,ra-CPF payout at age 84--930.00
2059-05-31,1000002313,84,excess,377051.29,377981.29,930.0,inflow,excess-CPF payout at age 84-930.00
2059-06-30,1000002315,84,oa,79103.31,79322.35,219.04,inflow,oa-Allocation for oa at age 84-219.04
2059-06-30,1000002316,84,ma,945678.5,947978.42,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2059-06-30,1000002317,84,ra,34520.2,34739.24,219.04,inflow,ra-Allocation for ra at age 84-219.04
2059-06-30,1000002318,84,ra,34739.24,33809.24,-930.0,outflow,ra-CPF payout at age 84--930.00
2059-06-30,1000002319,84,excess,377981.29,378911.29,930.0,inflow,excess-CPF payout at age 84-930.00
2059-07-31,1000002321,85,oa,79322.35,79541.39,219.04,inflow,oa-Allocation for oa at age 85-219.04
2059-07-31,1000002322,85,ma,947978.42,950278.34,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2059-07-31,1000002323,85,ra,33809.24,34028.28,219.04,inflow,ra-Allocation for ra at age 85-219.04
2059-07-31,1000002324,85,ra,34028.28,33098.28,-930.0,outflow,ra-CPF payout at age 85--930.00
2059-07-31,1000002325,85,excess,378911.29,379841.29,930.0,inflow,excess-CPF payout at age 85-930.00
2059-08-31,1000002327,85,oa,79541.39,79760.43,219.04,inflow,oa-Allocation for oa at age 85-219.04
2059-08-31,1000002328,85,ma,950278.34,952578.26,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2059-08-31,1000002329,85,ra,33098.28,33317.32,219.04,inflow,ra-Allocation for ra at age 85-219.04
2059-08-31,1000002330,85,ra,33317.32,32387.32,-930.0,outflow,ra-CPF payout at age 85--930.00
2059-08-31,1000002331,85,excess,379841.29,380771.29,930.0,inflow,excess-CPF payout at age 85-930.00
2059-09-30,1000002333,85,oa,79760.43,79979.47,219.04,inflow,oa-Allocation for oa at age 85-219.04
2059-09-30,1000002334,85,ma,952578.26,954878.18,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2059-09-30,1000002335,85,ra,32387.32,32606.36,219.04,inflow,ra-Allocation for ra at age 85-219.04
2059-09-30,1000002336,85,ra,32606.36,31676.36,-930.0,outflow,ra-CPF payout at age 85--930.00
